Age,Gender,Education Level,Occupation,Income,Debt-to-Income Ratio,Net Worth,Investment Amount,Financial Knowledge,Risk Tolerance,Investment Horizon,Market Condition,Interest Rate (%),Inflation Rate (%),Stocks (%),Bonds (%),Gold (%),Real Estate (%)
40,Female,Graduate,Mid-career,116730,0.08,1284030,37113.1,6,3,Medium,Bullish,4.78,7.65,18.0,55.0,20.0,7.0
47,Male,Graduate,Executive,498724,0.03,9974480,219846.65,4,6,Medium,Bullish,8.34,7.7,50.0,26.0,15.0,9.0
55,Female,Postgraduate,Senior Professional,216510,0.15,3464160,42776.17,10,6,Short,Bullish,4.25,5.68,52.0,34.0,15.0,-1.0
63,Male,Postgraduate,Retired,47673,0.22,524403,18757.42,6,1,Short,Bullish,5.93,4.18,19.0,48.0,14.0,19.0
47,Male,Graduate,Senior Professional,201083,0.01,3820577,60435.28,9,6,Short,Neutral,5.4,7.1,31.0,20.0,20.0,29.0
37,Male,Graduate,Mid-career,134569,0.07,2018535,47688.68,7,8,Short,Neutral,6.11,6.23,65.0,7.0,11.0,17.0
30,Female,Postgraduate,Entry-level,31624,0.03,31624,13279.97,4,2,Long,Bearish,5.0,6.86,15.0,63.0,19.0,3.0
38,Male,Postgraduate,Business Owner,305710,0.03,2445680,127569.45,5,9,Medium,Bearish,8.57,6.71,48.0,19.0,12.0,21.0
44,Male,Doctorate,Mid-career,85801,0.15,1201214,9024.0,4,1,Short,Neutral,6.55,8.0,23.0,43.0,10.0,24.0
28,Female,Graduate,Entry-level,46618,0.19,466180,7959.43,4,1,Short,Bullish,4.63,6.65,33.0,50.0,17.0,0.0
41,Male,Postgraduate,Business Owner,178564,0.17,357128,44967.2,3,5,Medium,Bearish,4.07,7.47,25.0,44.0,11.0,20.0
24,Female,Graduate,Entry-level,27003,0.18,108012,12889.96,1,2,Long,Neutral,4.65,3.33,10.0,59.0,17.0,14.0
64,Male,Postgraduate,Retired,48996,0.48,97992,18197.79,6,7,Medium,Bullish,8.98,3.06,36.0,29.0,15.0,20.0
51,Male,Graduate,Executive,649161,0.22,8439093,135568.35,6,1,Long,Neutral,4.85,7.31,17.0,50.0,18.0,15.0
41,Male,Graduate,Business Owner,103845,0.25,311535,32523.06,3,9,Long,Neutral,4.72,7.37,64.0,12.0,13.0,11.0
52,Female,Graduate,Executive,743149,0.09,8917788,238609.62,3,2,Short,Bearish,8.94,2.05,19.0,49.0,15.0,17.0
26,Male,Graduate,Freelancer,89738,0.02,1166594,18592.85,10,6,Medium,Bullish,5.72,4.52,53.0,17.0,13.0,17.0
25,Female,Graduate,Freelancer,82541,0.06,1403197,15943.21,3,5,Long,Bullish,5.42,5.7,43.0,34.0,15.0,8.0
24,Male,Postgraduate,Entry-level,33925,0.06,678500,15993.25,1,6,Medium,Neutral,8.95,5.88,33.0,28.0,14.0,25.0
43,Female,Graduate,Business Owner,283563,0.23,2268504,136847.84,6,7,Short,Bullish,6.97,6.47,47.0,16.0,19.0,18.0
30,Female,Postgraduate,Entry-level,25341,0.35,126705,7484.56,6,8,Long,Bullish,5.15,4.26,84.0,8.0,12.0,-4.0
24,Female,Postgraduate,Freelancer,59525,0.02,238100,19158.4,10,3,Long,Neutral,4.49,6.69,17.0,50.0,17.0,16.0
19,Male,Graduate,Student,9206,0.29,46030,2006.83,2,7,Short,Neutral,7.56,2.45,30.0,26.0,12.0,32.0
20,Female,Graduate,Student,3489,0.47,52335,1093.86,5,2,Medium,Neutral,8.76,6.65,19.0,53.0,12.0,16.0
62,Male,Graduate,Retired,41471,0.08,580594,14918.76,1,5,Long,Bullish,4.93,3.51,51.0,24.0,10.0,15.0
64,Female,Graduate,Retired,41315,0.34,743670,10860.33,2,6,Long,Bullish,8.38,7.35,51.0,15.0,15.0,19.0
44,Male,Doctorate,Mid-career,131824,0.07,1318240,40893.08,10,3,Short,Bullish,6.12,6.15,32.0,35.0,14.0,19.0
41,Female,Graduate,Mid-career,120927,0.16,2418540,21775.12,7,8,Medium,Bullish,7.82,3.23,73.0,10.0,19.0,-2.0
73,Male,Postgraduate,Retired,39068,0.24,586020,17152.15,5,9,Long,Bullish,4.94,5.83,81.0,0.0,19.0,0.0
70,Female,Postgraduate,Retired,43385,0.37,867700,10980.33,6,2,Medium,Bullish,4.18,4.45,30.0,55.0,19.0,-4.0
29,Female,Graduate,Freelancer,66075,0.19,792900,8099.1,7,2,Long,Bearish,6.22,7.55,19.0,47.0,15.0,19.0
60,Female,Graduate,Executive,915665,0.14,11903645,447164.72,5,10,Medium,Neutral,8.99,7.96,79.0,10.0,14.0,-3.0
72,Female,Graduate,Retired,18676,0.28,37352,6033.22,2,7,Long,Neutral,8.0,3.35,31.0,33.0,16.0,20.0
56,Male,Postgraduate,Executive,295062,0.24,5901240,95530.48,6,9,Medium,Bullish,8.68,7.24,64.0,0.0,19.0,17.0
57,Male,Postgraduate,Senior Professional,194165,0.15,194165,63420.87,5,10,Medium,Bullish,6.14,3.94,60.0,9.0,15.0,16.0
42,Male,Graduate,Business Owner,113810,0.2,1365720,39165.78,6,3,Long,Bullish,6.51,4.16,28.0,35.0,18.0,19.0
34,Female,Graduate,Mid-career,127024,0.08,1651312,14002.93,6,1,Short,Bearish,4.95,5.59,15.0,55.0,10.0,20.0
52,Male,Postgraduate,Senior Professional,185711,0.09,2785665,24685.61,7,4,Long,Neutral,8.84,7.24,15.0,48.0,17.0,20.0
52,Male,Graduate,Executive,231950,0.27,4407050,86694.17,5,10,Medium,Bullish,8.27,5.84,64.0,8.0,16.0,12.0
18,Male,Graduate,Student,3107,0.3,37284,1538.32,5,9,Medium,Neutral,4.17,2.94,71.0,14.0,12.0,3.0
30,Male,Graduate,Freelancer,58634,0.07,1055412,18418.64,10,7,Short,Bullish,8.81,5.24,38.0,22.0,18.0,22.0
50,Female,Postgraduate,Senior Professional,139420,0.11,1115360,57629.58,4,10,Long,Bullish,5.95,3.19,70.0,3.0,16.0,11.0
39,Female,Graduate,Mid-career,70432,0.09,1056480,32725.3,10,9,Long,Neutral,6.27,6.41,55.0,15.0,19.0,11.0
26,Female,Graduate,Entry-level,24696,0.12,321048,3669.98,2,6,Short,Bullish,7.05,2.82,48.0,20.0,12.0,20.0
42,Female,Doctorate,Business Owner,213955,0.17,2781415,82589.42,6,5,Medium,Neutral,6.75,6.99,41.0,23.0,18.0,18.0
55,Male,Postgraduate,Executive,603468,0.04,1810404,201573.93,6,5,Short,Neutral,4.15,3.37,42.0,23.0,12.0,23.0
36,Female,Postgraduate,Business Owner,128109,0.29,1921635,30043.95,10,8,Long,Neutral,5.38,4.51,77.0,10.0,19.0,-6.0
26,Male,Graduate,Entry-level,33363,0.04,533808,14607.33,5,3,Medium,Bearish,6.86,6.96,17.0,55.0,15.0,13.0
26,Male,Graduate,Entry-level,37346,0.03,560190,18157.3,6,2,Short,Bullish,5.47,2.14,17.0,41.0,12.0,30.0
49,Female,Postgraduate,Executive,430159,0.05,4301590,190128.07,6,7,Medium,Neutral,8.11,3.33,48.0,37.0,11.0,4.0
60,Male,Postgraduate,Senior Professional,105531,0.2,949779,26586.68,4,10,Short,Bullish,4.32,6.27,57.0,6.0,16.0,21.0
43,Male,Graduate,Mid-career,126583,0.18,1518996,49427.03,7,1,Long,Bullish,7.24,6.54,34.0,50.0,20.0,-4.0
26,Female,Graduate,Entry-level,48123,0.48,48123,8155.65,6,1,Medium,Neutral,7.29,2.68,14.0,58.0,17.0,11.0
45,Female,Postgraduate,Business Owner,101523,0.05,1827414,16960.66,10,1,Medium,Bullish,7.59,4.63,34.0,53.0,18.0,-5.0
26,Male,Graduate,Freelancer,38512,0.23,731728,6279.97,3,2,Medium,Neutral,8.26,4.55,25.0,51.0,11.0,13.0
23,Female,Graduate,Entry-level,43343,0.46,260058,13092.75,1,10,Short,Bearish,8.35,4.93,66.0,13.0,19.0,2.0
61,Male,Postgraduate,Retired,32041,0.45,256328,14590.75,3,1,Medium,Bearish,8.04,6.25,16.0,57.0,18.0,9.0
57,Male,Graduate,Senior Professional,120681,0.21,844767,45996.07,5,4,Short,Neutral,8.17,2.66,13.0,51.0,20.0,16.0
18,Female,Undergraduate,Student,5085,0.15,50850,2213.84,1,8,Medium,Bearish,7.39,4.5,68.0,10.0,12.0,10.0
33,Male,Doctorate,Business Owner,248832,0.1,995328,54584.48,5,5,Long,Bullish,5.42,6.67,42.0,21.0,11.0,26.0
43,Female,Doctorate,Mid-career,134762,0.1,1617144,41322.61,5,2,Short,Neutral,6.91,4.47,15.0,46.0,15.0,24.0
51,Male,Postgraduate,Executive,959945,0.2,4799725,443689.67,8,1,Short,Bullish,6.05,6.92,33.0,53.0,19.0,-5.0
26,Female,Postgraduate,Entry-level,35293,0.29,105879,10618.01,6,6,Medium,Bullish,7.12,2.77,55.0,24.0,19.0,2.0
52,Female,Postgraduate,Senior Professional,158272,0.01,2215808,15995.83,6,1,Medium,Bullish,4.35,6.94,16.0,42.0,15.0,27.0
22,Male,Graduate,Student,9381,0.0,46905,3143.06,3,10,Long,Neutral,8.34,4.68,60.0,12.0,15.0,13.0
52,Male,Postgraduate,Senior Professional,115892,0.18,1390704,15709.84,9,4,Short,Bullish,6.69,7.43,18.0,53.0,16.0,13.0
26,Male,Postgraduate,Entry-level,39817,0.31,557438,11521.26,1,10,Medium,Neutral,5.04,6.78,68.0,15.0,17.0,0.0
39,Female,Graduate,Mid-career,61803,0.03,309015,8972.26,6,7,Short,Bearish,6.71,7.19,34.0,45.0,17.0,4.0
29,Male,Postgraduate,Entry-level,32690,0.14,621110,8723.9,6,2,Medium,Neutral,4.44,7.26,10.0,51.0,12.0,27.0
53,Female,Graduate,Senior Professional,148772,0.14,892632,48528.23,4,2,Medium,Bullish,6.32,5.75,24.0,46.0,11.0,19.0
25,Male,Postgraduate,Freelancer,47088,0.09,188352,11627.91,1,3,Long,Bullish,4.21,2.95,31.0,43.0,17.0,9.0
24,Male,Postgraduate,Freelancer,88920,0.0,1600560,16072.3,3,2,Long,Neutral,7.0,3.09,14.0,54.0,14.0,18.0
56,Male,Graduate,Executive,909640,0.07,3638560,156887.68,3,1,Short,Neutral,4.82,5.96,17.0,48.0,12.0,23.0
58,Male,Postgraduate,Senior Professional,203207,0.15,203207,58186.98,4,10,Long,Neutral,5.08,3.78,77.0,12.0,10.0,1.0
35,Male,Graduate,Business Owner,271147,0.02,1898029,111511.36,7,8,Short,Bullish,4.96,4.8,83.0,10.0,11.0,-4.0
45,Male,Doctorate,Mid-career,107391,0.15,1181301,28704.38,6,7,Short,Bullish,8.15,7.66,44.0,20.0,19.0,17.0
34,Male,Doctorate,Mid-career,78359,0.09,548513,38876.77,4,5,Short,Neutral,4.06,5.09,42.0,37.0,10.0,11.0
20,Female,Undergraduate,Student,8940,0.14,89400,4065.62,2,10,Short,Bullish,7.71,2.76,64.0,9.0,17.0,10.0
26,Female,Graduate,Entry-level,42474,0.2,127422,18954.91,3,8,Long,Neutral,6.48,7.4,73.0,11.0,20.0,-4.0
18,Female,Graduate,Student,6722,0.2,40332,842.07,4,5,Short,Neutral,6.86,2.77,49.0,29.0,19.0,3.0
27,Male,Graduate,Freelancer,93204,0.03,1770876,24412.2,10,9,Short,Neutral,7.31,3.93,76.0,7.0,14.0,3.0
27,Female,Postgraduate,Entry-level,44466,0.04,622524,16474.18,2,6,Medium,Bullish,8.5,3.59,38.0,20.0,12.0,30.0
48,Male,Graduate,Executive,412728,0.01,3714552,142687.51,7,2,Medium,Bullish,5.39,2.47,27.0,55.0,10.0,8.0
48,Male,Graduate,Executive,367795,0.15,6988105,115629.66,10,10,Medium,Neutral,8.21,2.63,61.0,15.0,18.0,6.0
61,Male,Graduate,Retired,38720,0.26,116160,14338.62,2,1,Long,Neutral,7.04,5.95,15.0,52.0,19.0,14.0
29,Female,Graduate,Freelancer,85544,0.21,769896,40346.74,6,9,Medium,Bearish,5.62,3.33,53.0,12.0,19.0,16.0
57,Male,Postgraduate,Senior Professional,92485,0.13,647395,36286.78,7,1,Long,Neutral,8.41,4.09,25.0,45.0,16.0,14.0
43,Male,Postgraduate,Mid-career,102071,0.06,2041420,13092.73,7,2,Short,Bullish,5.02,6.05,25.0,49.0,10.0,16.0
27,Male,Postgraduate,Freelancer,86333,0.02,1208662,38317.76,7,10,Long,Neutral,5.69,5.89,70.0,8.0,19.0,3.0
24,Male,Graduate,Freelancer,72245,0.2,1444900,20162.36,9,2,Medium,Neutral,7.32,2.4,24.0,59.0,17.0,0.0
34,Female,Postgraduate,Business Owner,481062,0.04,9621240,74678.35,8,6,Medium,Neutral,8.76,6.32,48.0,30.0,14.0,8.0
41,Male,Doctorate,Business Owner,310772,0.09,621544,133005.52,8,9,Medium,Neutral,5.97,5.18,79.0,6.0,17.0,-2.0
73,Male,Graduate,Retired,36274,0.43,326466,16785.72,5,2,Short,Bullish,7.35,7.76,18.0,50.0,12.0,20.0
19,Female,Undergraduate,Student,7836,0.22,117540,3112.04,3,2,Medium,Bullish,7.17,6.66,32.0,37.0,18.0,13.0
55,Male,Postgraduate,Senior Professional,213193,0.0,3624281,30190.05,4,3,Short,Bullish,5.52,4.05,15.0,47.0,11.0,27.0
58,Female,Graduate,Senior Professional,220067,0.14,1100335,46537.66,7,1,Long,Bullish,5.72,4.61,29.0,47.0,10.0,14.0
18,Male,Graduate,Student,4571,0.35,68565,597.99,4,3,Short,Neutral,7.08,6.85,30.0,56.0,13.0,1.0
58,Female,Postgraduate,Senior Professional,181184,0.13,181184,42989.71,8,9,Medium,Bullish,7.94,3.14,85.0,3.0,20.0,-8.0
33,Male,Postgraduate,Mid-career,123573,0.29,494292,13889.13,9,6,Short,Bullish,8.65,7.57,45.0,22.0,14.0,19.0
44,Male,Doctorate,Business Owner,487853,0.2,5854236,134706.65,10,1,Short,Neutral,6.37,3.67,22.0,44.0,13.0,21.0
26,Female,Graduate,Entry-level,40671,0.38,244026,7505.89,6,1,Medium,Bullish,6.55,3.41,19.0,41.0,11.0,29.0
23,Female,Graduate,Freelancer,78668,0.0,1573360,27099.9,9,3,Short,Neutral,7.09,6.44,28.0,46.0,11.0,15.0
25,Male,Postgraduate,Freelancer,88599,0.24,1417584,32421.09,8,6,Long,Bullish,6.12,2.11,52.0,35.0,20.0,-7.0
35,Male,Postgraduate,Business Owner,487953,0.07,3415671,94376.7,7,5,Medium,Bullish,4.67,4.43,41.0,19.0,13.0,27.0
38,Male,Graduate,Mid-career,143503,0.2,717515,48892.23,10,2,Medium,Bullish,4.66,3.81,24.0,53.0,13.0,10.0
55,Female,Graduate,Senior Professional,190262,0.09,3424716,37797.43,6,4,Short,Neutral,7.89,4.74,13.0,54.0,18.0,15.0
21,Male,Graduate,Student,3525,0.24,66975,769.12,1,4,Medium,Neutral,5.59,6.65,25.0,40.0,20.0,15.0
31,Female,Postgraduate,Mid-career,102522,0.02,1947918,28284.44,4,10,Medium,Bearish,8.67,4.44,72.0,14.0,19.0,-5.0
25,Male,Graduate,Entry-level,46147,0.49,92294,13351.74,5,8,Long,Bullish,4.1,5.72,63.0,4.0,12.0,21.0
21,Male,Undergraduate,Student,7529,0.26,7529,849.59,5,2,Long,Neutral,7.49,4.99,24.0,45.0,18.0,13.0
28,Male,Postgraduate,Freelancer,70375,0.23,1266750,23197.99,5,4,Medium,Bearish,6.97,5.06,6.0,49.0,14.0,31.0
19,Male,Graduate,Student,8924,0.11,44620,1362.98,6,4,Medium,Bearish,7.03,5.5,11.0,57.0,11.0,21.0
48,Female,Postgraduate,Senior Professional,194229,0.28,388458,21609.72,10,6,Medium,Bullish,7.93,6.89,50.0,22.0,18.0,10.0
20,Male,Graduate,Student,2820,0.44,14100,388.3,4,8,Medium,Bullish,8.51,6.11,77.0,5.0,18.0,0.0
59,Male,Postgraduate,Executive,616149,0.15,4313043,192118.92,3,10,Medium,Neutral,7.23,4.03,50.0,11.0,16.0,23.0
20,Male,Graduate,Student,4628,0.13,55536,836.97,3,7,Medium,Neutral,5.53,5.43,33.0,25.0,18.0,24.0
44,Male,Doctorate,Mid-career,108177,0.19,1839009,17523.4,6,10,Long,Bullish,6.86,5.36,57.0,5.0,16.0,22.0
49,Male,Graduate,Executive,579987,0.28,10439766,140355.06,8,3,Short,Bullish,5.27,5.92,24.0,44.0,17.0,15.0
35,Female,Doctorate,Business Owner,300268,0.15,300268,83457.41,4,8,Short,Neutral,7.99,3.19,52.0,9.0,15.0,24.0
36,Male,Doctorate,Mid-career,146093,0.12,1314837,37299.35,3,7,Short,Bullish,6.91,7.35,46.0,21.0,15.0,18.0
27,Female,Postgraduate,Entry-level,24531,0.04,318903,7283.66,5,9,Medium,Neutral,5.43,6.85,57.0,7.0,12.0,24.0
34,Female,Graduate,Business Owner,102456,0.21,102456,14903.27,9,8,Medium,Neutral,7.79,6.19,80.0,7.0,12.0,1.0
42,Female,Postgraduate,Business Owner,257259,0.22,514518,73499.69,7,5,Short,Bullish,5.44,3.27,37.0,29.0,16.0,18.0
42,Female,Doctorate,Mid-career,73653,0.05,73653,36817.01,7,9,Medium,Bearish,8.45,3.11,57.0,13.0,13.0,17.0
68,Male,Graduate,Retired,27983,0.3,503694,8266.29,3,10,Medium,Bearish,5.63,2.06,67.0,10.0,12.0,11.0
45,Female,Graduate,Mid-career,120811,0.15,1570543,49955.27,6,5,Medium,Bullish,4.02,7.03,39.0,15.0,14.0,32.0
31,Male,Doctorate,Business Owner,437644,0.23,1312932,198524.32,8,7,Short,Bullish,8.9,6.48,39.0,35.0,18.0,8.0
60,Male,Graduate,Senior Professional,148146,0.15,2666628,23010.85,10,3,Medium,Bullish,7.89,7.17,31.0,45.0,12.0,12.0
49,Female,Graduate,Senior Professional,226123,0.13,904492,99906.26,8,2,Short,Bearish,6.22,5.44,7.0,63.0,17.0,13.0
56,Female,Postgraduate,Senior Professional,186271,0.27,2980336,70074.6,7,6,Medium,Neutral,6.04,4.35,46.0,27.0,19.0,8.0
38,Female,Postgraduate,Business Owner,481891,0.2,5782692,185975.39,6,8,Medium,Bearish,7.31,2.55,75.0,18.0,11.0,-4.0
63,Male,Graduate,Retired,36939,0.43,73878,9371.42,1,9,Long,Bullish,6.59,6.52,66.0,0.0,20.0,14.0
56,Male,Postgraduate,Senior Professional,155498,0.19,1865976,25664.43,9,9,Long,Bullish,4.25,2.73,55.0,6.0,10.0,29.0
59,Male,Graduate,Executive,226739,0.12,1360434,39406.53,5,6,Long,Neutral,4.45,2.13,41.0,34.0,19.0,6.0
26,Female,Postgraduate,Freelancer,81688,0.11,408440,11310.41,9,5,Short,Bullish,4.16,2.29,47.0,26.0,19.0,8.0
29,Female,Postgraduate,Freelancer,94249,0.07,188498,14732.82,3,10,Medium,Bullish,5.55,4.83,63.0,3.0,19.0,15.0
52,Female,Postgraduate,Executive,442555,0.07,6195770,154012.63,6,6,Medium,Bullish,8.55,7.04,49.0,16.0,18.0,17.0
49,Male,Graduate,Senior Professional,141590,0.16,1982260,62921.73,3,4,Short,Neutral,8.86,5.79,14.0,51.0,16.0,19.0
21,Male,Graduate,Student,1234,0.23,13574,534.93,4,10,Short,Bullish,7.27,4.41,75.0,2.0,13.0,10.0
26,Male,Postgraduate,Entry-level,32462,0.37,389544,4568.14,5,10,Medium,Neutral,8.87,6.98,76.0,8.0,12.0,4.0
60,Female,Postgraduate,Executive,204916,0.2,3073740,86909.28,5,1,Long,Bullish,7.93,4.35,35.0,35.0,11.0,19.0
58,Female,Postgraduate,Executive,346004,0.25,1384016,153094.57,8,7,Medium,Neutral,6.39,3.8,46.0,21.0,13.0,20.0
28,Male,Graduate,Freelancer,61076,0.22,1221520,18459.1,9,7,Medium,Bullish,5.98,7.43,50.0,31.0,19.0,0.0
21,Female,Graduate,Student,197,0.16,1576,81.92,5,6,Medium,Neutral,4.43,3.6,36.0,29.0,15.0,20.0
50,Female,Graduate,Senior Professional,135460,0.22,948220,37334.67,3,7,Short,Neutral,6.06,6.62,35.0,29.0,20.0,16.0
29,Male,Postgraduate,Freelancer,34123,0.14,307107,12640.8,2,8,Medium,Neutral,8.74,6.8,52.0,14.0,16.0,18.0
44,Male,Doctorate,Business Owner,193457,0.12,1741113,75163.26,10,6,Medium,Bullish,7.76,4.07,48.0,35.0,13.0,4.0
34,Male,Doctorate,Business Owner,354258,0.05,708516,174664.12,10,7,Short,Neutral,4.76,7.75,35.0,20.0,15.0,30.0
41,Male,Doctorate,Mid-career,144854,0.18,579416,52714.48,3,5,Long,Bearish,6.27,5.86,32.0,45.0,16.0,7.0
65,Male,Graduate,Retired,10829,0.12,194922,3522.77,5,10,Long,Bullish,5.57,4.89,76.0,4.0,10.0,10.0
24,Female,Graduate,Freelancer,48140,0.37,722100,5895.02,3,6,Short,Bullish,7.2,6.27,38.0,16.0,17.0,29.0
75,Male,Graduate,Retired,48681,0.18,535491,14289.5,3,6,Medium,Neutral,5.51,4.74,45.0,24.0,20.0,11.0
46,Male,Postgraduate,Executive,415612,0.11,4987344,137130.64,8,5,Medium,Bullish,4.72,5.42,42.0,29.0,14.0,15.0
22,Male,Undergraduate,Student,8379,0.06,75411,3195.68,4,4,Medium,Bullish,7.42,7.44,35.0,51.0,12.0,2.0
66,Female,Graduate,Retired,34782,0.18,556512,14389.76,2,3,Medium,Neutral,5.24,2.93,23.0,55.0,16.0,6.0
64,Male,Postgraduate,Retired,28260,0.12,56520,6523.01,1,4,Long,Neutral,7.89,6.85,23.0,58.0,15.0,4.0
49,Female,Graduate,Executive,611747,0.12,7952711,252784.78,3,5,Long,Bullish,7.39,4.13,54.0,25.0,12.0,9.0
40,Male,Graduate,Business Owner,179194,0.22,1612746,20664.01,10,10,Short,Neutral,8.3,3.72,51.0,13.0,17.0,19.0
24,Female,Postgraduate,Entry-level,25000,0.19,475000,10127.04,6,7,Medium,Neutral,8.97,3.85,37.0,39.0,14.0,10.0
32,Male,Doctorate,Business Owner,163864,0.12,1147048,31233.89,8,10,Medium,Neutral,7.13,6.58,70.0,15.0,14.0,1.0
30,Female,Graduate,Freelancer,92078,0.09,368312,19238.05,3,6,Short,Neutral,5.51,5.23,37.0,33.0,11.0,19.0
22,Female,Graduate,Student,4654,0.44,32578,1585.81,2,5,Medium,Neutral,7.59,5.65,33.0,28.0,15.0,24.0
36,Male,Graduate,Mid-career,60496,0.12,181488,22198.09,4,4,Medium,Bullish,6.05,5.13,27.0,45.0,15.0,13.0
20,Female,Undergraduate,Student,7144,0.33,64296,1349.14,1,4,Short,Bearish,8.76,3.18,12.0,46.0,14.0,28.0
35,Male,Doctorate,Business Owner,196027,0.04,588081,69689.27,5,6,Long,Bullish,6.07,5.51,44.0,23.0,17.0,16.0
47,Male,Postgraduate,Senior Professional,203358,0.03,1220148,24559.16,9,8,Short,Neutral,5.44,2.05,79.0,8.0,10.0,3.0
34,Male,Postgraduate,Mid-career,108593,0.06,1303116,16217.41,5,3,Long,Bullish,4.37,6.76,19.0,46.0,20.0,15.0
46,Male,Graduate,Senior Professional,226891,0.08,2042019,75006.21,5,10,Medium,Bullish,8.58,4.82,85.0,10.0,12.0,-7.0
38,Female,Postgraduate,Business Owner,477705,0.18,7643280,185256.17,8,10,Short,Neutral,4.47,2.61,73.0,13.0,19.0,-5.0
